zona,suprafata,numar_camere,etaj,an_constructie,balcon,parcare,pret,mobilat,tip_incalzire
Drumul Taberei,,2,6.0,1988,nu,nu,137000.0,nu,Termoficare
Pantelimon,109.0,2,1.0,1998,da,nu,141000.0,nu,Termoficare
Vitan,85.0,4,,1994,,nu,101000.0,nu,Gaz
Pantelimon,72.0,2,0.0,2002,,da,113000.0,nu,Termoficare
Floreasca,98.0,1,8.0,2018,nu,da,198000.0,nu,Termoficare
,,1,0.0,2001,nu,nu,100000.0,da,Termoficare
Drumul Taberei,84.0,3,7.0,2018,,nu,145000.0,nu,Termoficare
Militari,,1,1.0,2004,da,da,191000.0,nu,Termoficare
Floreasca,64.0,4,7.0,2013,nu,nu,156000.0,nu,Gaz
Pantelimon,,1,2.0,2007,nu,da,130000.0,da,Gaz
Drumul Taberei,85.0,1,5.0,1995,da,nu,132000.0,nu,Gaz
Vitan,97.0,4,,1980,da,nu,131000.0,nu,Termoficare
Pantelimon,,2,6.0,2004,nu,nu,63000.0,da,Termoficare
Drumul Taberei,72.0,2,9.0,1977,da,nu,111000.0,nu,Termoficare
Vitan,,4,8.0,2015,nu,nu,137000.0,da,Gaz
Militari,,3,1.0,1983,nu,nu,67000.0,nu,Termoficare
Pantelimon,85.0,1,4.0,1979,da,nu,96000.0,nu,Termoficare
Vitan,115.0,4,5.0,1971,da,da,162000.0,nu,Termoficare
Floreasca,39.0,1,3.0,2015,da,da,122000.0,nu,Gaz
,,3,3.0,1978,da,da,95000.0,,Termoficare
Floreasca,38.0,1,3.0,1972,da,nu,74000.0,nu,Termoficare
Titan,44.0,4,1.0,1990,nu,nu,79000.0,da,Termoficare
,90.0,1,3.0,1995,nu,nu,174000.0,,Gaz
Pantelimon,51.0,2,10.0,1977,da,nu,37000.0,nu,Termoficare
Vitan,108.0,3,0.0,2017,da,nu,152000.0,nu,Termoficare
Pipera,51.0,3,,1971,da,nu,134000.0,nu,Termoficare
Pipera,,3,0.0,1975,nu,nu,222000.0,,Termoficare
Vitan,,4,9.0,1997,da,da,167000.0,da,Gaz
Militari,,3,5.0,2022,da,nu,93000.0,da,Gaz
Pantelimon,40.0,2,0.0,1998,nu,da,56000.0,da,Termoficare
Titan,87.0,4,5.0,1995,nu,da,141000.0,nu,Termoficare
Floreasca,100.0,2,9.0,1994,da,nu,217000.0,nu,Termoficare
Drumul Taberei,,1,7.0,1981,da,nu,170000.0,nu,Termoficare
Floreasca,77.0,1,10.0,1974,da,da,180000.0,nu,Termoficare
Drumul Taberei,109.0,1,1.0,2003,nu,da,191000.0,da,Termoficare
Floreasca,57.0,1,1.0,2017,,nu,104000.0,da,Termoficare
Vitan,89.0,2,3.0,2006,da,nu,115000.0,nu,
Titan,,4,10.0,1984,da,da,146000.0,nu,Gaz
Pantelimon,109.0,4,2.0,2013,nu,nu,106000.0,da,Gaz
Drumul Taberei,50.0,3,3.0,2005,nu,nu,61000.0,,Termoficare
Pantelimon,,2,6.0,1984,da,nu,54000.0,nu,Termoficare
Pantelimon,38.0,1,10.0,2012,da,da,67000.0,da,Termoficare
,38.0,2,0.0,2017,nu,da,66000.0,nu,
Berceni,,3,,1992,nu,da,88000.0,nu,Termoficare
Militari,,3,2.0,1975,nu,nu,71000.0,da,Termoficare
Floreasca,101.0,2,10.0,2015,,nu,196000.0,da,Termoficare
Pantelimon,,2,9.0,2019,nu,da,134000.0,nu,Gaz
Floreasca,,2,6.0,2013,nu,da,132000.0,da,
Pantelimon,66.0,4,9.0,2012,,da,92000.0,da,Gaz
Drumul Taberei,84.0,1,1.0,2014,nu,nu,121000.0,,Termoficare
Militari,,2,1.0,1990,,da,123000.0,nu,Termoficare
Militari,85.0,2,3.0,1992,da,da,141000.0,nu,Termoficare
Vitan,53.0,2,0.0,2012,da,nu,102000.0,,Gaz
Berceni,55.0,3,2.0,1985,da,nu,70000.0,nu,Gaz
Vitan,39.0,3,8.0,2016,nu,nu,72000.0,,Gaz
Vitan,116.0,4,6.0,2022,da,da,147000.0,,Gaz
Vitan,76.0,1,6.0,1984,nu,nu,78000.0,nu,Termoficare
Vitan,95.0,4,10.0,1994,nu,nu,126000.0,nu,Termoficare
,56.0,1,3.0,2005,da,da,75000.0,nu,Gaz
Titan,55.0,3,1.0,1980,nu,nu,70000.0,da,Termoficare
Militari,,3,3.0,2020,da,da,180000.0,da,Gaz
Vitan,,3,5.0,1984,da,da,44000.0,da,
,39.0,4,10.0,1973,da,nu,39000.0,nu,Termoficare
Militari,46.0,2,10.0,1990,nu,nu,61000.0,da,Termoficare
Militari,80.0,2,2.0,1982,da,nu,115000.0,da,Termoficare
Pipera,68.0,3,0.0,1991,nu,nu,149000.0,da,
Titan,83.0,2,7.0,1988,da,nu,106000.0,nu,Gaz
Vitan,112.0,2,4.0,2003,da,nu,152000.0,nu,Termoficare
Floreasca,79.0,4,4.0,1983,,da,208000.0,nu,Termoficare
Drumul Taberei,61.0,1,10.0,1973,nu,da,83000.0,nu,Termoficare
Berceni,,3,3.0,2017,nu,nu,101000.0,da,Gaz
,60.0,3,5.0,2022,,da,84000.0,da,Gaz
,81.0,4,,2021,da,nu,194000.0,nu,Termoficare
Titan,90.0,4,8.0,2015,da,da,132000.0,da,Gaz
Drumul Taberei,97.0,2,4.0,1996,nu,da,140000.0,nu,Termoficare
Titan,82.0,3,2.0,1998,nu,da,121000.0,da,Gaz
Pantelimon,,1,10.0,2016,nu,nu,96000.0,nu,Gaz
Militari,115.0,4,0.0,1997,nu,da,165000.0,da,Gaz
Drumul Taberei,60.0,1,9.0,2004,nu,nu,53000.0,nu,Termoficare
Militari,,1,5.0,1977,nu,da,95000.0,nu,Termoficare
Pantelimon,,3,1.0,1985,da,da,51000.0,nu,
Floreasca,42.0,3,,2011,nu,da,126000.0,da,Gaz
Pantelimon,86.0,4,0.0,2005,da,da,118000.0,nu,Termoficare
Floreasca,113.0,3,8.0,1999,da,da,246000.0,nu,Termoficare
Drumul Taberei,81.0,3,7.0,1987,,nu,112000.0,,Termoficare
Drumul Taberei,90.0,3,1.0,1971,nu,nu,140000.0,nu,Termoficare
Vitan,48.0,1,10.0,2018,da,da,93000.0,nu,Gaz
Titan,62.0,4,7.0,1982,nu,da,98000.0,nu,
Vitan,112.0,2,,1973,nu,da,124000.0,nu,Termoficare
Titan,36.0,1,0.0,1995,da,da,88000.0,nu,
Vitan,60.0,3,4.0,1994,da,nu,79000.0,nu,Termoficare
Militari,48.0,1,7.0,1999,da,da,97000.0,,Gaz
Drumul Taberei,93.0,3,10.0,1980,nu,nu,122000.0,nu,Termoficare
Floreasca,90.0,3,1.0,1976,da,da,223000.0,nu,Termoficare
Titan,41.0,1,3.0,2000,,nu,65000.0,nu,Gaz
Pantelimon,37.0,4,,2013,da,da,88000.0,da,
Titan,57.0,3,2.0,1979,da,da,105000.0,,Termoficare
Floreasca,52.0,4,4.0,2008,da,nu,129000.0,da,Termoficare
Vitan,72.0,2,7.0,1982,nu,da,93000.0,da,Termoficare
Titan,,3,9.0,2000,nu,da,81000.0,nu,Termoficare
Berceni,98.0,4,,1976,da,da,119000.0,nu,Termoficare
Militari,62.0,4,3.0,2018,da,nu,140000.0,nu,Gaz
Drumul Taberei,108.0,2,8.0,2011,da,da,158000.0,da,Termoficare
Floreasca,73.0,4,6.0,2011,nu,da,193000.0,nu,
Drumul Taberei,91.0,4,0.0,2005,da,nu,152000.0,nu,
